AREACD,AREANM,Abigail,Ada,Aisha,Alice,Amber,Amelia,Amelie,Anna,Annabelle,Arabella,Aria,Aurora,Ava,Ayla,Beatrice,Bella,Bonnie,Charlotte,Chloe,Clara,Daisy,Darcie,Delilah,Edith,Eleanor,Eliza,Elizabeth,Ella,Ellie,Elsie,Emilia,Emily,Emma,Erin,Esme,Eva,Evelyn,Evie,Felicity,Florence,Francesca,Freya,Georgia,Grace,Gracie,Hallie,Hannah,Harper,Harriet,Heidi,Holly,Imogen,Iris,Isabella,Isabelle,Isla,Ivy,Jasmine,Jessica,Layla,Lilly,Lily,Lola,Lottie,Lucy,Luna,Lyla,Maisie,Margot,Maria,Martha,Maryam,Matilda,Maya,Mia,Mila,Millie,Molly,Nancy,Olivia,Orla,Penelope,Phoebe,Poppy,Robyn,Rose,Rosie,Ruby,Sara,Scarlett,Sienna,Sofia,Sophia,Sophie,Summer,Thea,Violet,Willow,Zara,Zoe,,
E06000011,East Riding of Yorkshire,0.2,0.5,..,1.1,..,1.5,0.2,..,0.2,0.2,0.3,0.3,1,..,0.2,0.6,0.4,1.3,0.5,..,0.9,0.6,0.5,0.3,..,0.5,0.3,1,0.5,0.8,0.3,1.4,0.4,0.2,0.5,0.4,1.3,0.9,0.4,1,0.2,0.3,0.5,1.3,..,0.2,0.3,1.5,0.9,0.4,0.4,0.5,0.2,0.8,0.9,1.3,1.3,..,0.9,0.6,0.5,1.2,..,0.3,0.2,0.5,..,0.3,..,..,0.3,..,0.5,..,0.9,0.2,0.5,0.5,..,1.3,..,0.8,0.9,1.1,0.6,0.7,0.7,0.6,..,0.5,0.7,0.5,0.4,0.9,..,0.5,0.5,0.6,0.3,..,,
E06000012,North East Lincolnshire,..,..,..,..,..,1.2,..,..,0.5,0.4,0.9,0.4,1.5,..,..,..,0.4,0.7,..,..,..,0.4,..,0.4,..,0.6,..,1,..,0.5,..,0.7,0.4,0.4,..,..,0.9,0.7,..,0.9,..,1.1,0.4,0.4,..,..,..,0.5,..,..,0.7,..,..,0.7,0.5,1.8,1.1,0.7,..,0.6,0.6,1,..,1.1,0.5,0.5,0.4,0.6,..,..,..,..,0.6,..,1.1,0.4,..,..,..,1.8,..,..,0.7,0.6,..,0.7,0.9,0.5,..,0.4,..,0.5,0.6,0.6,0.7,..,0.4,1.1,..,..,,
E06000013,North Lincolnshire,..,..,..,0.4,..,1.8,..,..,..,0.4,..,0.4,0.7,..,..,0.5,..,1.1,0.5,..,0.6,0.5,..,..,0.4,0.5,..,0.9,0.6,1.2,1.1,0.5,..,0.5,0.9,..,0.6,1.1,0.6,0.6,..,0.9,0.5,0.5,0.4,0.4,..,0.8,..,..,0.4,0.4,0.5,0.7,1.5,0.8,0.7,..,0.7,..,0.5,0.4,..,0.6,0.4,..,..,..,..,0.7,0.4,..,..,..,0.5,..,0.4,0.5,..,2,..,..,0.9,0.6,..,..,0.9,0.6,0.4,1.4,..,..,0.8,1.1,0.4,0.4,0.7,0.8,..,..,,
E06000014,York,0.5,1,..,0.9,0.3,0.7,..,0.5,..,..,0.3,..,1.4,..,0.6,0.3,..,1.3,..,..,1.6,..,..,0.6,0.6,0.3,0.7,1,0.8,1.5,..,0.6,0.7,1.2,0.5,0.5,1.2,0.6,..,0.8,0.3,..,..,0.6,0.3,..,0.3,0.6,0.7,0.6,0.3,..,0.6,1.2,0.7,1.6,0.9,0.3,1,0.5,0.6,0.8,0.5,..,0.3,0.6,..,0.5,0.3,..,0.3,..,0.7,0.3,1.2,..,..,..,0.3,0.9,..,0.9,0.7,0.8,0.3,..,1,0.3,..,..,0.8,0.5,0.3,0.5,..,0.6,0.3,0.6,..,..,,
E06000015,Derby,0.4,0.3,0.4,0.4,0.2,1.3,0.3,0.3,0.2,..,0.2,..,0.4,..,..,..,..,0.8,0.3,..,0.5,..,..,..,..,0.4,0.4,0.5,..,0.5,0.5,0.4,..,0.3,0.6,0.6,0.4,0.3,..,0.2,..,0.7,0.2,0.2,0.3,0.2,0.3,0.7,0.5,0.3,0.3,0.3,0.2,0.9,0.5,0.6,0.6,..,0.3,0.4,..,0.8,0.2,..,..,0.4,..,0.2,..,0.6,..,0.3,0.6,0.5,0.7,0.3,0.2,..,0.4,0.9,..,0.3,0.4,0.6,0.3,0.2,0.4,0.6,..,0.3,0.6,0.6,0.4,0.8,..,..,..,0.9,..,..,,
E06000016,Leicester,0.1,..,0.6,0.3,0.3,0.9,..,0.3,..,..,0.6,0.2,0.3,0.2,..,0.2,..,..,0.1,..,0.1,..,0.3,..,..,0.3,..,0.2,0.1,0.2,0.1,0.3,0.1,..,0.1,0.5,0.3,0.1,..,0.2,..,0.2,..,0.2,..,..,0.4,0.4,..,..,..,0.2,..,0.4,..,0.5,0.3,0.2,0.4,0.4,..,0.3,..,..,0.1,0.3,..,0.1,..,0.4,..,0.6,0.1,0.3,0.5,0.2,..,..,0.2,0.6,..,0.1,..,0.1,..,..,..,0.2,0.3,0.3,0.5,0.4,0.2,..,..,0.4,0.3,0.3,0.2,0.2,,
E06000017,Rutland,..,..,..,..,..,1.7,..,..,..,..,..,..,..,..,..,..,..,3.4,..,..,..,..,..,..,..,..,..,..,..,1.7,..,..,..,..,..,2.2,..,1.7,..,..,..,..,..,1.7,..,..,..,..,..,..,..,..,..,..,..,..,1.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.2,..,..,..,..,..,..,..,..,1.7,1.7,..,..,..,..,..,..,..,2.2,..,..,..,..,..,..,..,..,..,,
E06000018,Nottingham,0.3,..,0.2,0.3,..,1.1,0.2,0.2,..,..,0.3,..,0.7,..,0.3,..,..,0.3,0.3,..,0.2,..,..,..,..,0.4,0.3,0.6,0.4,..,0.4,0.4,0.2,0.2,0.2,0.3,0.4,0.4,..,..,0.2,0.5,..,0.3,0.2,..,0.3,0.6,..,..,0.3,0.3,..,0.8,0.3,0.7,0.3,..,0.3,0.4,0.4,0.5,0.2,..,0.2,0.2,..,..,..,0.6,..,0.2,0.2,0.2,0.5,0.3,..,..,0.2,1,..,0.2,0.3,0.2,0.2,0.2,0.2,0.5,0.3,0.6,0.5,0.3,0.4,0.3,0.2,..,0.2,0.3,0.2,0.2,,
E06000019,"Herefordshire, County of",..,..,..,0.6,0.4,0.5,..,..,..,0.4,..,0.6,1.4,..,..,0.4,0.4,0.8,..,..,0.9,..,..,0.4,..,..,0.6,0.9,..,1,0.4,0.4,..,0.8,0.5,1,1.1,0.6,..,1.9,..,0.5,..,0.9,0.4,..,..,0.8,0.4,..,..,0.8,..,0.4,0.5,1.4,0.8,0.4,0.5,0.6,..,0.9,..,..,..,..,..,1.1,0.4,..,0.8,..,0.8,..,0.6,..,..,..,..,2.3,..,0.8,1.1,1.1,0.4,0.4,..,0.9,..,..,..,0.4,0.5,0.5,0.5,..,..,1.3,..,..,,
E06000020,Telford and Wrekin,..,..,..,0.6,..,1.3,..,..,..,0.3,0.6,0.4,1.6,..,..,0.6,0.3,0.5,0.3,..,0.5,0.6,..,0.4,..,0.4,0.4,0.9,..,0.7,0.6,0.7,..,0.4,0.4,0.5,0.7,0.7,..,0.7,..,0.7,0.3,1.2,0.4,..,..,0.8,0.3,..,0.4,0.4,..,0.6,0.5,0.7,0.7,..,0.8,0.8,..,1.4,0.4,..,0.5,0.3,0.3,0.7,..,..,..,..,0.6,..,1,..,0.5,0.7,..,2.3,..,..,1.1,0.8,..,0.5,0.5,1.3,..,0.9,0.4,0.4,0.3,0.6,..,..,..,0.7,..,..,,
E06000021,Stoke-on-Trent,0.2,..,0.5,0.4,0.3,1.2,..,0.2,0.2,0.2,0.4,0.6,0.9,0.2,..,0.4,0.2,0.7,0.5,0.2,0.4,0.2,..,..,0.2,0.4,0.2,0.6,0.3,0.6,0.2,0.5,..,..,0.3,0.6,0.4,0.7,0.4,..,0.2,0.6,0.2,0.2,0.2,..,..,0.6,0.2,..,0.2,0.2,..,..,0.5,0.9,0.7,0.4,0.5,0.5,0.3,0.7,0.3,0.3,0.4,0.4,..,0.5,..,0.2,..,0.2,0.2,0.6,0.3,0.3,0.6,0.2,0.2,1.3,..,0.4,0.5,1,..,0.2,0.2,0.5,..,0.6,0.4,0.5,0.6,0.6,0.2,..,0.3,0.7,..,..,,
E06000022,Bath and North East Somerset,..,0.4,..,..,..,0.9,0.8,..,..,..,..,..,1,..,0.5,..,..,0.9,0.9,0.5,0.9,..,..,0.4,..,0.5,0.4,1,0.5,1.3,1.3,0.4,..,0.6,0.4,0.5,0.5,0.6,..,1.2,..,0.9,..,0.6,..,..,..,0.5,..,..,..,..,0.4,0.8,0.8,1.2,0.9,..,..,..,0.6,0.4,0.5,..,0.4,0.4,0.4,..,..,..,..,..,0.9,..,0.6,0.4,..,0.5,..,1.2,1,..,0.8,1.4,..,0.9,0.4,..,..,0.6,0.4,0.6,0.9,0.4,..,..,0.4,1.6,..,..,,
E06000023,"Bristol, City of",0.2,0.3,0.3,0.5,0.3,0.8,0.3,0.6,0.3,0.3,0.4,0.2,0.9,0.1,0.1,0.2,0.2,0.5,0.5,0.3,0.3,0.2,0.1,0.4,0.3,0.4,0.3,0.4,0.2,0.7,0.6,0.7,0.5,0.5,0.5,0.6,0.4,0.4,0.1,0.9,0.1,0.6,0.2,1,0.1,..,0.2,0.3,0.1,0.1,0.2,0.4,0.4,0.7,0.5,0.7,0.9,..,0.3,0.3,0.1,0.8,0.4,0.3,0.4,0.3,0.1,0.2,0.3,0.3,0.1,0.1,0.5,0.6,0.8,0.5,0.3,0.3,0.2,1.1,0.1,0.2,0.5,0.5,0.4,0.2,0.5,0.7,0.1,0.5,0.5,0.4,0.5,0.6,0.3,0.4,0.1,0.4,0.1,0.5,,
E06000024,North Somerset,..,..,..,0.7,..,0.7,0.5,..,..,0.5,0.6,..,0.8,..,..,..,..,0.8,0.7,0.3,0.9,..,..,..,0.4,..,..,0.9,..,0.4,0.7,1.3,0.3,0.4,0.5,0.4,0.9,0.9,0.3,0.6,..,1.1,0.3,0.9,0.4,0.4,..,0.4,0.9,..,0.3,0.8,0.3,0.3,1.5,1.3,0.6,..,0.9,0.4,0.4,1,0.3,0.3,0.9,0.3,..,0.3,0.4,0.3,0.3,..,1,0.5,0.6,0.6,..,0.6,..,1.7,..,0.6,1,1,0.3,0.7,0.3,0.8,..,0.4,0.6,0.4,0.9,0.9,..,0.3,0.4,0.4,0.6,..,,
E06000025,South Gloucestershire,0.2,0.3,..,0.8,0.4,1.4,0.4,..,0.3,0.3,0.3,0.2,1.4,..,0.3,0.4,0.3,0.7,0.5,0.2,0.8,0.3,0.3,0.4,0.4,0.6,0.5,0.6,0.2,0.6,0.6,1.2,0.3,0.4,0.4,0.4,0.5,0.6,0.3,1.1,..,1.1,0.3,1.1,0.4,0.2,..,0.6,0.3,..,0.4,0.8,0.3,0.7,0.6,1.8,1.1,0.3,0.6,0.3,0.6,0.6,0.3,0.4,0.5,0.4,0.3,0.9,..,0.2,..,..,0.9,0.5,0.8,0.3,0.8,0.4,0.3,1.5,..,0.4,0.9,0.7,0.3,..,1.3,1.3,..,0.4,1.2,0.4,0.4,0.7,0.2,0.2,0.4,0.9,0.5,..,,
E06000026,Plymouth,0.2,0.3,..,0.3,0.2,0.8,..,..,..,0.2,0.5,..,1.1,..,..,0.6,0.5,0.8,0.5,0.2,0.7,0.4,..,0.2,0.5,0.8,0.3,0.8,0.3,0.7,0.3,0.6,0.5,0.5,0.5,0.7,1.2,0.3,..,1.6,..,0.8,..,0.5,0.5,..,0.2,0.7,0.4,0.4,0.2,0.7,0.2,0.9,0.4,1.5,1,..,0.7,0.5,0.5,0.8,..,0.7,..,0.5,..,0.2,..,0.2,..,..,0.8,..,0.9,0.4,..,0.8,..,1.6,..,0.3,0.7,1.2,0.2,..,1.2,0.5,..,0.5,..,..,0.8,0.4,..,0.4,0.6,1.1,..,..,,
E06000027,Torbay,..,..,..,0.6,0.5,1.9,..,..,..,..,0.5,..,1.4,..,0.5,..,0.6,0.5,..,..,0.6,..,..,..,0.6,..,..,0.6,..,1.1,..,0.9,..,0.5,0.5,0.6,1.1,1.1,..,0.8,..,..,0.5,1.3,0.6,..,..,1.3,..,..,0.5,..,..,0.8,..,1.7,0.9,0.5,..,0.6,..,1.1,0.5,..,..,0.6,0.5,0.6,..,..,..,..,0.5,..,..,..,0.6,0.6,..,1.7,..,0.8,0.8,0.5,0.5,..,1.3,0.6,..,0.6,0.6,..,0.5,..,..,..,0.5,2.2,..,..,,
E06000030,Swindon,..,..,..,0.5,0.4,1.1,0.3,0.3,..,0.2,0.6,0.2,1,..,..,..,..,0.7,0.3,0.2,0.3,0.2,..,..,0.5,0.2,0.3,0.7,..,0.6,0.5,1.2,0.2,..,0.2,0.5,0.7,0.8,0.3,0.5,0.3,0.5,0.4,0.9,..,..,0.8,0.5,0.4,..,0.5,..,0.3,0.8,0.8,0.8,0.8,0.4,0.5,0.4,..,0.6,0.5,..,..,0.8,..,0.7,..,..,..,..,0.5,0.3,0.8,0.4,0.7,0.2,..,1.7,0.3,0.5,0.8,0.7,0.4,..,1,0.3,..,0.8,0.8,0.3,0.5,0.5,0.6,0.4,..,0.6,0.3,..,,
E06000031,Peterborough,0.4,..,0.3,0.5,..,1.3,..,..,..,..,0.2,0.3,1.3,..,..,..,..,0.2,0.4,0.2,..,0.2,..,..,..,0.3,0.5,0.4,0.2,0.4,1,0.9,..,..,0.4,..,0.6,0.3,..,0.3,0.2,0.6,..,1,..,..,..,0.8,0.6,..,..,0.2,..,0.6,0.5,1,0.5,0.2,0.5,..,0.2,0.7,0.4,0.2,..,0.4,..,0.4,..,0.4,..,0.3,0.3,0.4,0.9,0.3,0.4,..,..,1.7,..,..,0.2,0.7,..,0.2,0.4,0.2,..,0.3,0.8,0.9,0.5,0.8,..,0.3,0.3,0.6,..,..,,
E06000032,Luton,0.3,..,0.6,..,..,1.5,..,..,0.2,..,0.2,0.2,0.2,..,..,..,..,0.2,0.3,..,0.2,..,0.2,..,..,..,0.2,0.3,0.2,0.2,..,0.4,0.2,..,0.2,0.6,..,..,..,..,..,0.4,..,0.2,0.2,..,0.4,0.2,..,..,0.2,..,..,0.2,..,0.5,..,0.3,0.4,0.2,0.2,0.2,..,..,..,0.2,..,0.2,..,0.4,..,0.8,..,0.6,0.6,0.3,..,0.2,..,0.7,..,..,0.2,..,..,..,..,..,0.6,..,0.4,0.6,0.4,0.4,..,..,..,..,0.4,..,,
E06000033,Southend-on-Sea,..,..,..,0.7,..,1.6,0.3,..,..,..,0.5,..,1.2,..,..,0.8,0.3,0.5,..,..,1.2,0.5,0.3,0.3,0.6,0.4,0.5,1.1,0.4,0.5,0.6,1,..,..,0.4,0.4,0.5,0.8,..,0.8,..,0.8,..,0.4,..,..,0.3,0.7,0.4,..,0.3,0.4,..,1.8,0.6,0.7,0.9,0.3,0.4,0.7,..,0.8,0.4,0.4,0.4,0.5,..,0.4,..,..,..,..,0.6,0.5,0.9,0.3,0.9,0.4,..,0.8,..,0.6,0.7,0.7,..,0.3,1.5,0.4,..,0.5,1.3,..,0.5,0.7,..,..,0.6,0.6,..,..,,
E06000034,Thurrock,..,..,..,0.6,0.3,1.6,..,..,0.3,0.3,0.6,..,1.3,0.3,..,0.5,..,0.5,..,..,0.8,..,..,..,..,..,0.4,0.6,0.3,0.6,0.4,0.5,0.8,0.3,..,0.5,0.3,0.9,..,0.4,..,0.8,..,0.5,..,0.3,0.3,0.5,..,..,..,..,..,0.8,0.7,0.8,0.6,..,0.3,0.3,..,0.5,0.3,0.4,..,0.3,0.3,0.3,..,..,..,0.3,..,0.4,1.3,0.5,0.4,..,0.3,2.4,..,0.3,..,1,..,0.3,0.6,0.6,..,0.3,0.5,0.4,0.8,0.8,..,0.3,..,..,0.3,..,,
E06000035,Medway,0.2,..,..,0.5,0.3,1.7,..,0.3,..,0.3,0.3,0.2,0.9,..,0.2,0.3,0.3,0.6,0.5,..,0.5,0.3,0.2,..,..,0.3,0.2,0.7,0.5,0.4,0.7,0.6,0.3,0.6,0.5,0.2,0.7,1,..,1.2,0.2,0.7,0.2,0.9,..,0.3,0.2,0.9,0.3,..,0.4,0.3,0.2,1,0.3,1.2,1,0.3,0.5,0.2,0.2,0.6,0.5,0.2,0.2,0.5,0.3,0.3,..,0.3,..,0.2,0.6,0.2,1,..,0.6,0.4,0.3,1.2,..,0.3,0.9,0.6,..,0.5,1.2,0.9,..,0.4,0.8,0.6,0.6,0.7,0.7,0.3,0.5,1,0.3,0.2,,
E06000036,Bracknell Forest,0.6,..,0.4,0.6,..,1.9,0.4,..,..,0.6,0.4,..,2,..,..,0.7,0.4,0.9,1.7,..,0.6,..,..,0.6,0.6,..,..,0.9,0.6,..,1.6,1.4,0.7,..,0.7,..,0.9,0.7,..,..,0.4,1.1,0.6,1.1,0.4,..,..,1,0.6,..,..,0.7,..,..,0.6,0.9,0.4,..,1.1,..,..,0.7,..,0.4,0.4,0.7,0.6,0.6,..,..,0.4,..,0.6,0.7,1,0.4,0.4,0.4,..,1.7,..,0.6,..,0.7,..,..,0.9,..,..,0.4,0.7,1.1,0.7,1.6,..,..,0.6,0.6,..,0.4,,
E06000037,West Berkshire,..,..,..,0.9,..,1.1,0.4,..,..,0.5,0.4,..,1,..,..,..,..,1.1,1.1,..,1.4,..,..,..,0.4,..,0.4,0.6,..,0.6,0.4,1.3,..,0.6,0.5,0.6,0.6,0.5,..,1.4,0.4,0.9,..,0.5,..,..,0.4,0.9,0.5,..,0.5,0.9,..,0.8,0.6,1.5,0.8,..,1.5,..,..,1.3,0.6,0.4,0.9,0.4,..,0.4,..,..,..,..,0.6,..,0.9,0.6,1,..,..,2.1,..,0.6,0.6,1,..,..,0.6,0.4,..,..,1,1,1.3,1.5,..,..,0.4,0.8,0.4,..,,
E06000038,Reading,0.4,..,0.6,0.6,0.3,1,0.4,0.3,..,..,..,0.4,0.5,..,..,0.4,..,0.5,1.2,0.3,..,..,..,..,..,..,0.4,0.6,..,0.6,0.4,0.7,..,..,0.4,0.3,..,..,..,0.5,..,..,0.3,0.4,..,..,0.7,..,0.3,0.3,..,..,..,0.4,..,0.7,0.6,..,1.1,0.4,..,0.7,0.3,0.4,..,..,..,0.6,..,..,..,0.3,0.5,0.7,0.7,..,0.5,0.4,..,1,..,..,..,..,0.4,..,0.4,..,..,..,0.6,1.4,0.7,0.8,..,0.3,..,0.5,0.4,0.3,,
E06000039,Slough,..,..,0.3,..,0.3,1,..,..,..,..,..,..,0.3,0.3,..,0.3,..,0.3,0.3,..,..,..,0.3,..,..,..,..,0.3,..,..,0.3,0.4,0.3,..,..,0.4,..,..,..,..,..,0.3,..,0.5,..,..,0.3,..,..,..,..,..,..,..,0.3,0.4,..,0.3,..,..,..,0.3,..,..,..,..,..,..,..,..,..,0.8,..,0.3,0.5,..,..,..,..,0.6,..,..,..,..,..,0.3,..,0.3,0.5,0.4,0.5,0.3,0.3,0.5,..,..,..,..,0.4,..,,
E06000040,Windsor and Maidenhead,..,..,..,0.7,..,1.4,0.7,..,0.4,..,..,..,0.8,..,..,0.4,..,1,0.8,..,0.7,..,..,..,0.8,..,..,1,..,..,0.4,1.2,0.7,..,..,..,..,0.7,..,0.8,..,0.6,..,1.1,..,..,..,..,..,..,..,1.2,..,0.7,0.7,1,1.2,..,..,0.4,..,0.4,..,..,0.7,..,..,0.6,0.4,0.4,..,0.6,0.4,1.1,1.7,..,..,0.4,..,1.8,..,0.4,..,0.6,..,..,0.7,0.4,..,..,1,0.7,0.8,1,..,..,..,..,..,..,,
E06000041,Wokingham,..,..,..,0.7,..,1.3,0.4,..,0.5,0.4,..,..,1,..,..,..,..,1,0.5,..,1,..,..,0.6,..,0.4,..,1,..,0.6,0.9,0.7,0.6,0.6,0.4,0.4,1.3,..,..,0.4,..,1.2,0.4,1,..,..,..,0.7,..,..,0.6,0.9,..,..,0.9,1.7,0.7,..,1.2,0.4,..,1,..,..,0.5,..,..,0.4,0.5,..,..,..,1.1,0.6,0.5,..,0.5,..,..,1.2,..,0.7,0.4,0.6,..,..,0.9,..,..,0.7,1,0.7,1.2,1.6,..,..,..,0.6,0.4,0.5,,
